,house_number,households_number,households_women,households_men,households_children,region,residence_type,residence_type,drink_water_source,time_water_source,toilet_type,electricity,radio,tv,refrigerator,floor_material,wall_material,roof_material,sleeping_room,landline,share_toilet,cooking_fuel_type,bednet,treat_water,water_boil,water_bleach,water_strain,water_filter,water_solar,water_settle,water_other,house_share_toilet,wealth_index,wealth_index_score,location,water_provider,paraffin_lamp,iron,lighting_source,distance_market,meals_day,distance_health
0,4,2,1,0,0,Dodoma,Urban,Town,Open public well,30,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Sun-dried bricks,Grass/thatch/mud,1,No,No,Wood,Yes,Yes,Yes,No,No,No,No,No,No, ,Poorest,-106000,Mainland urban, ,No,No,Paraffin-wick lamp,37,2,1
1,9,1,0,0,0,Dodoma,Urban,Town,Spring,60,No facility/bush/field,No,No,No,No,"Earth, sand, dung",Sun-dried bricks,Grass/thatch/mud,1,No, ,Wood,No,No,No,No,No,No,No,No,No, ,Poorest,-110000,Mainland urban, ,No,No,Paraffin-wick lamp,37,2,1
2,13,5,3,0,0,Dodoma,Urban,Town,Open public well,30,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Sun-dried bricks,Iron sheets,3,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Middle,-19000,Mainland urban, ,No,Yes,Paraffin-wick lamp,37,2,1
3,23,1,0,1,0,Dodoma,Urban,Town,Spring,60,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Sun-dried bricks,Grass/thatch/mud,2,No,Yes,Wood,No,No,No,No,No,No,No,No,No,2,Poorest,-102000,Mainland urban, ,No,No,Paraffin-wick lamp,37,2,1
4,27,1,0,0,0,Dodoma,Urban,Town,Spring,60,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",Sun-dried bricks,Grass/thatch/mud,1,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Poorer,-63000,Mainland urban, ,No,Yes,Paraffin-wick lamp,38,2,1
5,32,3,1,0,0,Dodoma,Urban,Town,Open public well,45,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Sun-dried bricks,Grass/thatch/mud,2,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorer,-68000,Mainland urban, ,Yes,No,Paraffin-hurricane lamp,38,2,1
6,36,5,1,1,2,Dodoma,Urban,Town,River/dam/lake/ponds/stream/canal/irirgation channel,90,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",OTHER,Iron sheets,1,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorer,-65000,Mainland urban, ,Yes,No,Paraffin-wick lamp,37,1,1
7,41,6,1,0,1,Dodoma,Urban,Town,Open public well,40,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",Sun-dried bricks,Grass/thatch/mud,2,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Poorest,-95000,Mainland urban, ,No,No,Paraffin-wick lamp,37,2,1
8,46,6,1,0,1,Dodoma,Urban,Town,River/dam/lake/ponds/stream/canal/irirgation channel,30,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",OTHER,Iron sheets,2,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorer,-62000,Mainland urban, ,No,No,Paraffin-wick lamp,37,1,1
9,50,2,0,0,0,Dodoma,Urban,Town,Open public well,45,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Sun-dried bricks,Grass/thatch/mud,1,No,Yes,Wood,No,No,No,No,No,No,No,No,No,2,Poorest,-108000,Mainland urban, ,No,No,Paraffin-wick lamp,38,2,1
10,55,5,1,0,2,Dodoma,Urban,Town,Open public well,60,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",OTHER,Iron sheets,1,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Poorer,-78000,Mainland urban, ,No,No,Paraffin-wick lamp,37,2,1
11,60,10,4,0,4,Dodoma,Urban,Town,Spring,30,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",OTHER,Grass/thatch/mud,2,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorest,-107000,Mainland urban, ,No,No,Paraffin-wick lamp,38,1,1
12,64,1,0,0,0,Dodoma,Urban,Town,Open public well,60,No facility/bush/field,No,No,No,No,"Earth, sand, dung",Sun-dried bricks,Grass/thatch/mud,1,No, ,Wood,No,No,No,No,No,No,No,No,No, ,Poorest,-100000,Mainland urban, ,No,No,Paraffin-wick lamp,38,2,1
13,69,1,0,0,0,Dodoma,Urban,Town,Open public well,30,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Sun-dried bricks,Grass/thatch/mud,3,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorest,-103000,Mainland urban, ,No,No,Paraffin-wick lamp,37,2,1
