Cluster number,HOUSEHOLD number,Number of HOUSEHOLD members,Number of eligible women in HH,Number of eligible men in HH,Number of de jure members,Number of de facto members,Number of children 5 and under,Region,Type of place of residence,Place of residence,Cluster altitude in meters,Source of drinking water,Time to get to water source,Type of toilet facility,Has electricity,Has radio,Has television,Has refrigerator,Main floor material,Main wall material,Main roof material,Rooms used for sleeping,Has a landline telephone,Share toilet with other households,Type of cooking fuel,Have bednet for sleeping,Anything done to water to make safe to drink,Water usually treated by: boil,Water usually treated by: add bleach/chlorine,Water usually treated by: strain through a cloth,Water usually treated by: use water filter,Water usually treated by: solar disinfection,Water usually treated by: let it stand and settle,Water usually treated by: other,Number of households sharing toilet,Wealth index,Wealth index factor score (5 decimals),Mainland/Zanzibar,Who provides water at main source,Paraffin lamp,Iron,Main source of energy for lighting,How far is the nearest market place (kilometers),How many meals per day,How far is the nearest health facility
1,4,2,1,0,2,2,0,Dodoma,Urban,Town,1016,Open public well,30,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Sun-dried bricks,Grass/thatch/mud,1,No,No,Wood,Yes,Yes,Yes,No,No,No,No,No,No, ,Poorest,-106000,Mainland urban, ,No,No,Paraffin-wick lamp,37,2,1
1,9,1,0,0,1,1,0,Dodoma,Urban,Town,1016,Spring,60,No facility/bush/field,No,No,No,No,"Earth, sand, dung",Sun-dried bricks,Grass/thatch/mud,1,No, ,Wood,No,No,No,No,No,No,No,No,No, ,Poorest,-110000,Mainland urban, ,No,No,Paraffin-wick lamp,37,2,1
1,13,5,3,0,5,5,0,Dodoma,Urban,Town,1016,Open public well,30,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Sun-dried bricks,Iron sheets,3,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Middle,-19000,Mainland urban, ,No,Yes,Paraffin-wick lamp,37,2,1
1,23,1,0,1,1,1,0,Dodoma,Urban,Town,1016,Spring,60,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Sun-dried bricks,Grass/thatch/mud,2,No,Yes,Wood,No,No,No,No,No,No,No,No,No,2,Poorest,-102000,Mainland urban, ,No,No,Paraffin-wick lamp,37,2,1
1,27,1,0,0,1,1,0,Dodoma,Urban,Town,1016,Spring,60,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",Sun-dried bricks,Grass/thatch/mud,1,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Poorer,-63000,Mainland urban, ,No,Yes,Paraffin-wick lamp,38,2,1
1,32,3,1,0,3,2,0,Dodoma,Urban,Town,1016,Open public well,45,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Sun-dried bricks,Grass/thatch/mud,2,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorer,-68000,Mainland urban, ,Yes,No,Paraffin-hurricane lamp,38,2,1
1,36,5,1,1,5,4,2,Dodoma,Urban,Town,1016,River/dam/lake/ponds/stream/canal/irirgation channel,90,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",OTHER,Iron sheets,1,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorer,-65000,Mainland urban, ,Yes,No,Paraffin-wick lamp,37,1,1
1,41,6,1,0,6,6,1,Dodoma,Urban,Town,1016,Open public well,40,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",Sun-dried bricks,Grass/thatch/mud,2,No,Yes,Wood,Yes,No,No,No,No,No,No,No,No,2,Poorest,-95000,Mainland urban, ,No,No,Paraffin-wick lamp,37,2,1
1,46,6,1,0,6,5,1,Dodoma,Urban,Town,1016,River/dam/lake/ponds/stream/canal/irirgation channel,30,Pit latrine - without slab / open pit,No,Yes,No,No,"Earth, sand, dung",OTHER,Iron sheets,2,No,No,Wood,Yes,No,No,No,No,No,No,No,No, ,Poorer,-62000,Mainland urban, ,No,No,Paraffin-wick lamp,37,1,1
1,50,2,0,0,2,2,0,Dodoma,Urban,Town,1016,Open public well,45,Pit latrine - without slab / open pit,No,No,No,No,"Earth, sand, dung",Sun-dried bricks,Grass/thatch/mud,1,No,Yes,Wood,No,No,No,No,No,No,No,No,No,2,Poorest,-108000,Mainland urban, ,No,No,Paraffin-wick lamp,38,2,1
